"marca","desplazamiento","peso","año.del.modelo","origen","mpg"
"chevrolet chevelle malibu",307,3504,70,1,18
"buick skylark 320",350,3693,70,1,15
"plymouth satellite",318,3436,70,1,18
"amc rebel sst",304,3433,70,1,16
"ford torino",302,3449,70,1,17
"ford galaxie 500",429,4341,70,1,15
"chevrolet impala",454,4354,70,1,14
"plymouth fury iii",440,4312,70,1,14
"pontiac catalina",455,4425,70,1,14
"amc ambassador dpl",390,3850,70,1,15
"dodge challenger se",383,3563,70,1,15
"plymouth 'cuda 340",340,3609,70,1,14
"chevrolet monte carlo",400,3761,70,1,15
"buick estate wagon (sw)",455,3086,70,1,14
"toyota corona mark ii",113,2372,70,3,24
"plymouth duster",198,2833,70,1,22
"amc hornet",199,2774,70,1,18
"ford maverick",200,2587,70,1,21
"datsun pl510",97,2130,70,3,27
"volkswagen 1131 deluxe sedan",97,1835,70,2,26
"peugeot 504",110,2672,70,2,25
"audi 100 ls",107,2430,70,2,24
"saab 99e",104,2375,70,2,25
"bmw 2002",121,2234,70,2,26
"amc gremlin",199,2648,70,1,21
"ford f250",360,4615,70,1,10
"chevy c20",307,4376,70,1,10
"dodge d200",318,4382,70,1,11
"hi 1200d",304,4732,70,1,9
"datsun pl510",97,2130,71,3,27
"chevrolet vega 2300",140,2264,71,1,28
"toyota corona",113,2228,71,3,25
"amc gremlin",232,2634,71,1,19
"plymouth satellite custom",225,3439,71,1,16
"chevrolet chevelle malibu",250,3329,71,1,17
"ford torino 500",250,3302,71,1,19
"amc matador",232,3288,71,1,18
"chevrolet impala",350,4209,71,1,14
"pontiac catalina brougham",400,4464,71,1,14
"ford galaxie 500",351,4154,71,1,14
"plymouth fury iii",318,4096,71,1,14
"dodge monaco (sw)",383,4955,71,1,12
"ford country squire (sw)",400,4746,71,1,13
"pontiac safari (sw)",400,5140,71,1,13
"amc hornet sportabout (sw)",258,2962,71,1,18
"chevrolet vega (sw)",140,2408,71,1,22
"pontiac firebird",250,3282,71,1,19
"ford mustang",250,3139,71,1,18
"mercury capri 2000",122,2220,71,1,23
"opel 1900",116,2123,71,2,28
"peugeot 304",79,2074,71,2,30
"fiat 124b",88,2065,71,2,30
"toyota corolla 1200",71,1773,71,3,31
"datsun 1200",72,1613,71,3,35
"volkswagen model 111",97,1834,71,2,27
"plymouth cricket",91,1955,71,1,26
