contact;education;day;duration;campaign;previous;poutcome;loan
cellular;primary;19;79;1;0;unknown;no
cellular;secondary;11;220;1;4;failure;yes
cellular;tertiary;16;185;1;1;failure;no
unknown;tertiary;3;;4;0;unknown;yes
;secondary;5;226;1;0;unknown;no
cellular;tertiary;23;141;2;3;failure;no
cellular;tertiary;14;341;1;2;other;no
cellular;secondary;6;151;2;0;unknown;no
;tertiary;14;57;2;0;unknown;no
unknown;secondary;20;273;1;0;unknown;no
cellular;secondary;17;113;2;0;unknown;no
cellular;tertiary;13;328;2;0;unknown;no
cellular;secondary;30;261;1;0;unknown;no
cellular;secondary;29;;1;1;failure;yes
;tertiary;29;189;2;0;unknown;yes
cellular;secondary;27;239;5;0;unknown;no
cellular;tertiary;20;114;1;2;failure;no
cellular;secondary;7;148;1;1;other;no
cellular;unknown;18;96;2;0;unknown;no
cellular;tertiary;19;140;3;0;unknown;no
unknown;secondary;12;109;2;0;unknown;no
cellular;secondary;7;125;2;0;unknown;no
cellular;tertiary;30;169;3;0;unknown;no
cellular;tertiary;20;182;2;0;unknown;no
unknown;primary;5;247;1;0;unknown;no
telephone;unknown;17;119;1;2;failure;no
cellular;secondary;30;149;2;0;unknown;yes
cellular;secondary;21;74;2;0;unknown;yes
telephone;secondary;14;897;2;0;unknown;no
;secondary;27;81;3;0;unknown;no
cellular;secondary;21;40;1;0;unknown;no
cellular;tertiary;26;958;6;0;unknown;no
cellular;tertiary;13;354;3;0;unknown;no
unknown;secondary;14;150;1;0;unknown;no
telephone;primary;22;97;1;0;unknown;no
cellular;secondary;14;132;1;0;unknown;no
cellular;secondary;6;765;1;2;failure;no
unknown;tertiary;30;16;18;0;unknown;no
unknown;tertiary;17;609;2;3;failure;no
cellular;tertiary;11;106;2;0;unknown;no
cellular;secondary;13;;1;0;unknown;no
cellular;tertiary;13;205;3;0;unknown;no
cellular;tertiary;21;11;4;0;unknown;no
;tertiary;7;;2;0;unknown;no
telephone;primary;2;59;3;2;other;no
unknown;primary;21;;1;0;unknown;no
cellular;unknown;27;181;1;1;success;no
unknown;primary;5;1018;3;0;unknown;no
cellular;secondary;20;1740;2;0;unknown;no
cellular;secondary;29;98;2;0;unknown;no
cellular;tertiary;15;441;1;1;other;no
cellular;secondary;14;272;3;0;unknown;no
telephone;secondary;15;159;2;0;unknown;no
telephone;secondary;4;140;1;0;unknown;yes
cellular;tertiary;17;295;1;0;unknown;no
unknown;secondary;26;314;1;0;unknown;yes
unknown;secondary;15;579;1;0;unknown;yes
cellular;secondary;7;;1;0;unknown;no
cellular;tertiary;13;227;2;0;unknown;no
cellular;secondary;4;134;2;0;unknown;no
cellular;secondary;7;223;1;0;unknown;no
cellular;secondary;8;134;1;5;failure;no
cellular;secondary;28;155;1;0;unknown;no
cellular;secondary;21;130;4;0;unknown;no
cellular;secondary;7;630;3;0;unknown;yes
cellular;tertiary;19;164;2;0;unknown;no
cellular;tertiary;16;268;2;3;success;no
unknown;tertiary;5;380;1;0;unknown;no
unknown;tertiary;9;154;2;0;unknown;no
unknown;tertiary;3;154;5;0;unknown;no
;secondary;15;221;1;0;unknown;no
cellular;tertiary;14;67;2;0;unknown;no
cellular;secondary;14;367;2;1;other;no
cellular;secondary;14;87;6;0;unknown;yes
cellular;primary;5;701;1;0;unknown;no
cellular;secondary;17;;2;1;failure;no
cellular;secondary;16;652;1;0;unknown;no
cellular;primary;26;63;2;0;unknown;no
cellular;secondary;6;150;1;0;unknown;yes
telephone;secondary;7;398;2;2;failure;no
cellular;tertiary;30;224;1;0;unknown;no
unknown;primary;7;406;2;0;unknown;no
cellular;secondary;7;60;4;0;unknown;yes
unknown;primary;30;521;2;0;unknown;no
cellular;secondary;17;279;1;0;unknown;no
;secondary;20;203;2;0;unknown;no
cellular;primary;18;201;2;0;unknown;no
unknown;primary;20;372;3;0;unknown;no
cellular;tertiary;14;165;2;0;unknown;no
cellular;secondary;11;231;5;0;unknown;no
cellular;tertiary;1;291;2;0;unknown;no
unknown;tertiary;14;149;2;0;unknown;no
cellular;tertiary;19;233;1;20;failure;no
cellular;secondary;12;473;1;1;success;no
cellular;primary;4;736;1;0;unknown;no
unknown;secondary;6;337;1;0;unknown;no
cellular;tertiary;11;553;1;7;failure;no
telephone;secondary;21;345;2;0;unknown;no
telephone;primary;13;;2;0;unknown;no
;secondary;13;9;1;0;unknown;no
cellular;tertiary;14;259;2;3;failure;no
unknown;secondary;9;371;3;0;unknown;yes
cellular;tertiary;3;280;2;0;unknown;no
cellular;primary;21;243;1;0;unknown;no
cellular;primary;23;435;3;0;unknown;no
cellular;secondary;30;258;6;3;success;no
telephone;tertiary;29;7;5;0;unknown;no
cellular;secondary;15;317;5;0;unknown;yes
cellular;secondary;30;76;2;1;failure;no
telephone;secondary;26;170;4;0;unknown;no
cellular;secondary;17;386;2;0;unknown;yes
cellular;secondary;18;83;2;0;unknown;no
cellular;secondary;19;65;1;0;unknown;yes
cellular;primary;13;69;1;0;unknown;no
unknown;tertiary;17;564;2;0;unknown;no
cellular;secondary;21;588;1;0;unknown;no
cellular;primary;18;113;4;0;unknown;no
unknown;secondary;21;16;1;0;unknown;no
cellular;tertiary;21;1877;3;0;unknown;no
unknown;secondary;15;51;1;0;unknown;no
cellular;secondary;28;;3;0;unknown;yes
telephone;secondary;5;176;1;3;failure;no
cellular;tertiary;14;161;1;0;unknown;no
cellular;primary;18;187;3;0;unknown;no
unknown;primary;26;24;1;0;unknown;no
cellular;unknown;8;85;1;2;failure;no
unknown;secondary;9;317;2;0;unknown;no
cellular;tertiary;28;236;10;0;unknown;no
cellular;secondary;7;54;1;2;failure;yes
cellular;tertiary;5;71;1;0;unknown;no
unknown;unknown;19;39;2;0;unknown;no
cellular;tertiary;12;;2;0;unknown;no
cellular;tertiary;22;455;2;0;unknown;no
unknown;unknown;30;86;1;0;unknown;no
cellular;tertiary;18;190;2;0;unknown;no
unknown;secondary;8;280;2;0;unknown;yes
cellular;tertiary;11;588;2;0;unknown;yes
unknown;primary;19;45;9;0;unknown;yes
cellular;secondary;21;168;5;0;unknown;no
